Establishment,Manager,Status,Rooms,Beds,Address,Island,Tel,Email,License Type
Villa Sole,VALENTINO Gianluca (Mr),Operational,8,16,Marie-Jeanne Estate,Praslin,2711000 / 2538238,lucaval.sey@gmail.com / officeluca.sey@gmail.com,Self Catering
Villa Source D'Argent,LABLACHE Esmonde (Mrs),Operational,3,6,Lunion,La Digue,2604980/ 2511424,v.sourcdargent@hotmail.com,Self Catering
Villa St Sauveur,ESTHER Jeanine (Mrs),Operational,3,6,Grand Anse,Praslin,2524613,Jeanine.niole@tsogosun.com,Self Catering
Villa Tramonto,DINGWALL Allan ( Mr),Operational,4,8,Mare Anglaise,Mahe,2538758/2515761,allansey@gmail.com,Self Catering
Villa Vanilla,JOUBERT Guyliane(Ms),Operational,8,16,Port Glaud,Mahe,2585026/ 2631881,villavanillamahe@gmail.com,Guesthouse
Villa Verte,CAMILLE George (Mr),Operational,3,6,"P.O Box 237, Victoria",La Digue,2548548/ 4234402,bookings@villaverteseychelles.com; georgecamille@gmail.com),Self Catering
Villa Veuve,LOIZEAU Jacqueline (Ms),Operational,20,40,Anse Reunion,La Digue,2514742 /2511081/4235162,villaveuve@seychelles.net; villaveuveladigue@gmail.com,Small Hotel
Villa Voilier,CONFAIT Sheryl,Operational,1,2,Sailfish Estate- Anse La Mouche,Mahe,2718410,sherille77@hotmail.com,Self Catering
Villa Zananas,TURCOTTE Paul (Mr),Operational,3,6,Anse Possesion,Praslin,2515070/2515060,zananas@seyguide.com,Self Catering
Village du Pecheur,PAI Hemanth ( Mr),Operational,19,38,Cote d'Or,Praslin,4290300/ 2525383,village@seychelles.net,Small Hotel
Villas Coco Beach,BALDWIN Jennifer (Mrs),Operational,4,8,Anse Kerlan,Praslin,2600384,reservations@villascocobeach.com,Self Catering
Villas Des Alizes,FERRARI Samia (Miss),Operational,5,10,Amitie,Praslin,2520311/ 2529182,villasdesalizes@gmail.com,Self Catering
Villas du Voyageur,BECKER Dagmer (Mrs),Operational,2,4,Anse Kerlans,Praslin,4233161 / 2590003,info@villasduvoyageur.sc,Self Catering
Villas Santa Maria,AH-KONG Jennie (Mrs),Operational,2,4,Anse a La Mouche,Mahe,2529883,santamariaestate@gmail.com,Self Catering
Vista Doro,PELICIER Wanda Connie (Mrs),Operational,2,4,Cote Dor,Praslin,2512674/ 4232142,vistadoroseychelles@gmail.com,Self Catering
Whispering Palms Self catering,PRAGASSEN Joanne (Mrs),Operational,2,4,Bel Ombre,Mahe,2514464/2604298,jpragassen@seychelles.net;whisperingpalms@email.sc,Self Catering
Wyn Villas,LESPERANCE Jacques(Mr),Operational,3,6,Anse La Blague,Praslin,2524911/2589294,wynvilla2@gmail.com,Self Catering
Yarrabee Self Catering,AWEGE Sven (Mr),Operational,6,12,"P.O Box 856, Victoria",Mahe,4261248,Sven.Awege@gmail.com; info@seychelles-yarrabee.com,Self Catering
Yasad Luxury Beach Residence,UMARJI Adam (Mr),Operational,6,12,St Sauveur,Praslin,4237786/2779700/2525505,adam.umarji@generaltraffic.co.uk,Self Catering
Yellow Petals Self catering,PHILOE Sydna (Mrs),Operational,5,10,Anse Louis,Mahe,2523853,yellowpetalsseychelles@gmail.com,Self Catering
Ylang Ylang,BARBERO Stefania (Ms),Operational,3,6,Anse Reunion,La Digue,4234537/2500677/4234537,ylangylangselfcatering@yahoo.com,Self Catering
Zanboza Self Catering,"FANCHETTE James, Wilfrid  (Mr)",Operational,5,10,La Retraite,La Digue,2526625/ 4234776,wilfrid@seychelles.net,Self Catering
Zegret,"RADEGONDE Marie, Lucianne (Miss)",Operational,3,6,Anse Reunion,La Digue,2558830 /2572826,zegret.reservations@gmail.com; riciapat@hotmail.com,Self Catering
Zeph Self Catering,MONTHY Agnelle (Ms),Operational,3,6,Anse Poules Bleus,Mahe,2515396,agnelle@hotmail.com,Self Catering
Zerof Guesthouse,ROSE Madeleine (Mrs),Operational,4,8,Anse Reunion,La Digue,4234439/ 4235110,zerofguesthouse@yahoo.com,Guesthouse
Zerof Self Catering,ROSE Marcus & Madeline (Mr & Mrs),Operational,6,12,Anse Reunion,La Digue,4235110/ 2514067,zerofguesthouse@yahoo.com,Self Catering
